ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
127;5;10;2.08;16;5874.61;4045.78;494.27;0.0;394237.11
128;0;24;13.44;9;3336.76;4588.1;224670.21;164668.01;170939.56
129;18;99;13.22;6;4593.43;3383.44;72566.82;7397.59;1113164.65
130;10;27;21.92;7;11184.92;4889.13;144975.65;4034.52;3159654.77
131;0;42;5.99;11;654.69;507.73;159112.56;22286.51;419492.54
132;0;18;2.68;17;1401.6;5133.76;356104.85;0.0;449915.66
133;15;60;1.41;33;4454.96;9885.02;2824876.53;0.0;1527918.69
134;0;63;2.14;16;7032.31;6718.76;1014327.73;218844.25;991851.93
135;0;15;1.28;17;1035.31;1914.65;68145.84;0.0;829013.56
136;0;18;50.19;7;4309.58;5441.4;17326.78;0.0;653722.01
137;0;8;18.84;6;2742.33;6650.3;703792.87;886.16;1143724.94
138;8;16;169.59;3;4534.35;5353.79;0.0;0.0;1293174.59
139;13;56;7.36;10;4734.06;5230.62;7509.78;36255.91;1654388.56
140;0;12;5.68;13;4085.27;3069.5;2687.61;609.3;2256816.67
141;0;6;2.45;15;6051.9;2777.39;6300.29;1566.87;2597866.22
142;0;15;1.25;15;6554.74;5482.61;12302.67;1.0;4662826.73
143;12;24;5.4;15;46359.11;6406.73;114333.22;0.0;7575741.76
144;0;4;64.24;8;8569.26;6797.11;89973.06;80689.29;4591224.39
145;0;8;2.25;14;4063.26;2669.27;15352.92;1572.09;1224017.11
146;0;12;1.36;16;2810.06;5105.37;24542.77;0.0;703093.42
147;0;6;2.11;14;475.77;3749.09;20176.56;65978.13;18977.05
148;0;21;47.18;6;1109.65;4615.81;24667.03;1236.96;154781.73
149;0;30;638.23;2;6072.19;9402.32;58709.49;0.0;1144607.11
150;44;88;29.81;7;11873.08;3011.19;763584.76;5191.51;1146669.08
151;10;36;2818.24;2;4500.78;3352.19;991408.36;4146.75;805072.44
152;0;12;3.9;21;2258.33;5968.44;1192613.57;0.0;321732.98
