id,ZIV20_pocet,ZIV20_1,ZIV20_2,ZIV20_3,ZIV20_4,ZIV20_5,ZIV20_6,ZIV20_7,ZIV20_8,ZIV20_9,ZIV20_10,ZIV20_11,ZIV20_12,ZIV20_13,ZIV20_14,ZIV20_15,ZIV20_16
619,18,4,4,3,3,4,4,2,4,4,2,1,2,8,6,1,1
620,14,2,3,4,3,3,4,2,3,2,2,1,1,2,4,4,1
621,28,10,9,5,4,10,8,2,4,9,11,4,5,9,5,5,8
622,19,4,2,2,0,3,3,2,2,7,7,4,2,7,9,9,10
623,9,1,1,1,1,1,0,1,1,0,1,1,1,4,2,4,3
624,10,0,1,1,2,2,3,3,4,5,5,3,2,3,2,0,1
625,16,4,5,3,3,3,4,6,5,1,2,3,3,1,1,2,1
626,12,2,2,1,2,3,2,1,1,6,5,3,3,2,4,5,3
627,10,1,3,3,4,0,0,2,4,3,3,3,2,0,0,3,3
628,8,4,3,1,2,2,2,2,3,3,2,1,1,1,3,2,0
629,9,3,3,3,3,2,1,1,2,2,2,2,1,1,1,1,1
630,9,2,3,2,0,2,2,2,2,3,2,0,2,4,4,2,0
631,7,1,1,1,1,0,1,0,1,2,3,1,1,2,4,3,0
632,8,5,3,2,2,1,2,2,1,1,2,2,1,1,0,1,1
633,5,0,1,1,1,1,1,0,0,2,2,2,2,1,0,1,2
634,5,0,0,1,1,1,1,1,1,1,1,1,0,1,2,2,1
635,7,2,2,0,0,3,2,1,1,3,2,0,1,3,4,2,3
636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,7,1,1,4,3,1,3,4,2,1,3,3,3,2,3,2,1
638,7,2,1,2,2,2,1,1,0,2,1,2,3,2,2,1,2
639,7,2,2,3,2,1,1,1,0,3,2,0,0,2,1,1,1
640,8,3,3,3,1,3,5,3,3,1,1,2,2,1,1,1,1
641,8,2,2,1,0,3,2,2,1,2,2,3,3,1,1,2,1
642,4,1,2,1,1,1,1,1,1,1,1,0,0,1,2,1,1
643,7,4,1,1,1,3,1,1,0,4,2,2,2,2,1,2,2
644,3,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1
645,5,1,1,1,1,0,0,1,1,1,1,3,1,0,0,1,2
